hour,minute,day_of_week,ambient_light,lamp_status,target_action
18,30,0,35,0,1
19,00,0,20,0,1
19,15,0,15,1,1
20,00,0,10,1,1
22,30,0,8,1,1
23,10,0,5,1,0
7,00,1,80,1,0
7,30,1,120,0,0
18,45,1,30,0,1
19,10,1,18,0,1
20,20,1,12,1,1
23,00,1,7,1,0
6,50,2,70,1,0
18,40,2,32,0,1
19,05,2,17,0,1
21,30,2,9,1,1
23,20,2,4,1,0
7,15,3,90,1,0
18,35,3,33,0,1
19,20,3,16,0,1
20,10,3,11,1,1
23,15,3,5,1,0
7,10,4,95,1,0
18,50,4,25,0,1
19,00,4,19,0,1
22,45,4,6,1,1
23,30,4,5,1,0
8,00,5,140,1,0
18,55,5,24,0,1
19,30,5,14,0,1
23,50,5,4,1,0
8,20,6,150,1,0
18,20,6,40,0,1
19,25,6,13,0,1
22,00,6,8,1,1
23,40,6,4,1,0
